months,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12
days,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,6,7,8,9,10,15,20,25,30,61,91.5,122,152.5,183,213.5,244,274.5,305,335.5,366
hours,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,30,36,42,48,72,96,120,144,168,192,216,240,360,480,600,720,1464,2196,2928,3660,4392,5124,5856,6588,7320,8052,8784
Label,,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,1d,2d,2d,2d,2d,3d,4d,5d,6d,7d,8d,9d,10d,15d,20d,25d,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m
,CPU ($/Tflops),110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 ,110486.25 
,GPU ($/Tflops),632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 ,632.07 
Softlayer NVIDIA Tesla K80 hourly,Price (USD) total for period,5.30 ,10.60 ,15.90 ,21.20 ,26.50 ,31.80 ,37.10 ,42.40 ,47.70 ,53.00 ,58.30 ,63.60 ,68.90 ,74.20 ,79.50 ,84.80 ,90.10 ,95.40 ,100.70 ,106.00 ,111.30 ,116.60 ,121.90 ,127.20 ,159.00 ,190.80 ,222.60 ,254.40 ,381.60 ,508.80 ,636.00 ,763.20 ,890.40 ,1017.60 ,1144.80 ,1272.00 ,1908.00 ,2544.00 ,3180.00 ,3816.00 ,7759.20 ,11638.80 ,15518.40 ,19398.00 ,23277.60 ,27157.20 ,31036.80 ,34916.40 ,38796.00 ,42675.60 ,46555.20 
,CPU ($/Tflops),13.25 ,26.50 ,39.75 ,53.00 ,66.25 ,79.50 ,92.75 ,106.00 ,119.25 ,132.50 ,145.75 ,159.00 ,172.25 ,185.50 ,198.75 ,212.00 ,225.25 ,238.50 ,251.75 ,265.00 ,278.25 ,291.50 ,304.75 ,318.00 ,397.50 ,477.00 ,556.50 ,636.00 ,954.00 ,1272.00 ,1590.00 ,1908.00 ,2226.00 ,2544.00 ,2862.00 ,3180.00 ,4770.00 ,6360.00 ,7950.00 ,9540.00 ,19398.00 ,29097.00 ,38796.00 ,48495.00 ,58194.00 ,67893.00 ,77592.00 ,87291.00 ,96990.00 ,106689.00 ,116388.00 
,GPU ($/Tflops),0.61 ,1.21 ,1.82 ,2.43 ,3.03 ,3.64 ,4.24 ,4.85 ,5.46 ,6.06 ,6.67 ,7.28 ,7.88 ,8.49 ,9.10 ,9.70 ,10.31 ,10.92 ,11.52 ,12.13 ,12.73 ,13.34 ,13.95 ,14.55 ,18.19 ,21.83 ,25.47 ,29.11 ,43.66 ,58.22 ,72.77 ,87.32 ,101.88 ,116.43 ,130.98 ,145.54 ,218.31 ,291.08 ,363.84 ,436.61 ,887.78 ,1331.67 ,1775.56 ,2219.45 ,2663.34 ,3107.23 ,3551.12 ,3995.01 ,4438.90 ,4882.79 ,5326.68 
Softlayer NVIDIA Tesla K80 monthly,Price (USD) total for period,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,2479.00 ,4958.00 ,7437.00 ,9916.00 ,12395.00 ,14874.00 ,17353.00 ,19832.00 ,22311.00 ,24790.00 ,27269.00 ,29748.00 
,CPU ($/Tflops),6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,6197.50 ,12395.00 ,18592.50 ,24790.00 ,30987.50 ,37185.00 ,43382.50 ,49580.00 ,55777.50 ,61975.00 ,68172.50 ,74370.00 
,GPU ($/Tflops),283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,283.64 ,567.28 ,850.92 ,1134.55 ,1418.19 ,1701.83 ,1985.47 ,2269.11 ,2552.75 ,2836.38 ,3120.02 ,3403.66 
Softlayer NVIDIA Tesla K80 2690v3,Price (USD) total for period,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,1529.00 ,3058.00 ,4587.00 ,6116.00 ,7645.00 ,9174.00 ,10703.00 ,12232.00 ,13761.00 ,15290.00 ,16819.00 ,18348.00 
,CPU ($/Tflops),2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,2184.29 ,4368.57 ,6552.86 ,8737.14 ,10921.43 ,13105.71 ,15290.00 ,17474.29 ,19658.57 ,21842.86 ,24027.14 ,26211.43 
